"Table 1. Percent Change in Real Gross Domestic Product (GDP) by State and Region, 2017:Q1-2018:Q4",,,,,,,,,,
,Seasonally adjusted at annual rates,,,,,,,,,
,2017,,,,2018,,,,Rank 2018:Q4,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,,
United States,1.8,3.0,2.8,2.3,2.2,4.2,3.4,2.2,--,
New England ,0.6,2.8,3.1,-0.5,3.6,0.6,3.3,1.7,--,
Connecticut,-4.0,3.2,1.9,-2.2,1.7,-3.6,9.0,1.8,27,
Maine ,1.5,-0.1,3.6,0.4,2.0,2.5,3.1,0.7,46,
Massachusetts ,2.6,3.2,3.4,0.7,4.7,2.2,1.8,1.8,26,
New Hampshire ,5.7,0.1,7.4,-3.7,6.4,-0.7,3.9,1.7,30,
Rhode Island ,-4.3,5.7,1.2,-0.6,1.3,3.2,-5.7,1.0,43,
Vermont ,2.7,0.9,1.4,0.2,0.9,4.0,-1.1,1.9,20,
Mideast ,3.1,1.0,2.9,0.9,1.1,3.9,2.6,1.1,--,
Delaware ,-0.7,-5.9,7.1,-5.7,-1.2,0.8,9.0,0.0,50,
District of Columbia ,2.3,-0.1,7.3,-3.9,3.7,1.4,6.3,0.1,--,
Maryland ,-0.7,2.9,1.2,2.8,0.4,3.7,-0.9,1.2,40,
New Jersey,0.7,4.2,2.0,-1.1,3.6,2.4,1.8,1.8,23,
New York,6.0,-0.8,2.7,2.4,0.5,4.7,3.0,0.2,49,
Pennsylvania ,1.3,2.4,4.1,0.0,0.7,4.0,3.2,2.5,12,
Great Lakes ,-0.7,1.4,2.5,0.8,2.8,1.8,3.9,1.5,--,
Illinois ,-2.1,1.1,3.0,-0.5,4.0,0.6,5.0,1.3,37,
Indiana,1.0,-1.0,0.4,3.8,4.0,-0.4,1.9,0.9,44,
Michigan ,-1.5,2.4,1.8,2.9,2.3,3.8,3.3,1.8,24,
Ohio ,-0.2,2.3,3.0,-0.2,0.2,3.1,4.9,1.4,35,
Wisconsin ,1.1,1.7,4.0,-0.1,4.9,1.6,2.4,2.1,16,
Plains ,-1.8,3.2,-1.2,1.3,0.9,6.4,1.5,1.4,--,
Iowa ,-3.6,2.6,-4.5,1.7,1.4,6.5,-0.2,0.3,48,
Kansas,-2.9,1.1,1.6,1.5,0.6,5.4,1.2,0.9,45,
Minnesota ,0.7,1.8,-2.3,2.9,0.1,7.6,2.5,1.1,42,
Missouri ,-0.8,4.9,0.9,0.5,1.4,6.2,1.8,1.8,28,
Nebraska,-2.7,4.4,-0.5,1.0,0.7,4.7,-0.8,2.2,13,
North Dakota ,-8.8,10.9,-3.7,-0.9,0.5,9.6,3.2,3.5,8,
South Dakota ,-5.4,0.8,-1.4,-4.2,4.6,2.4,4.5,2.1,17,
Southeast ,1.7,1.4,2.1,2.5,1.9,3.4,4.4,1.8,--,
Alabama ,3.4,1.2,1.1,3.7,1.2,2.2,1.8,2.1,15,
Arkansas,0.1,2.1,-2.2,1.8,1.0,1.7,0.6,1.5,34,
Florida ,1.7,1.1,3.2,3.8,4.1,1.4,7.2,2.0,19,
Georgia ,3.4,1.5,3.7,3.1,-0.5,2.6,7.6,2.1,18,
Kentucky,-1.2,1.4,1.0,3.2,-1.8,4.5,0.9,1.8,22,
Louisiana ,2.8,-0.6,-1.1,-0.7,4.3,1.4,-0.1,1.3,39,
Mississippi ,2.3,-1.7,1.4,-0.3,1.3,2.2,2.0,0.5,47,
North Carolina ,1.6,2.0,0.9,3.1,2.0,7.7,0.5,1.9,21,
South Carolina ,3.9,1.0,0.5,1.1,1.4,2.5,3.2,1.6,32,
Tennessee ,1.2,2.4,2.5,2.1,0.6,6.6,5.2,1.6,31,
Virginia ,-1.0,2.4,2.9,1.7,2.9,2.9,4.9,1.5,33,
West Virginia ,5.9,-0.1,5.2,-1.3,-2.0,6.8,9.3,1.8,29,
Southwest ,1.9,3.9,3.4,1.0,2.5,4.3,3.7,5.9,--,
Arizona ,4.1,1.1,6.8,0.9,5.2,2.6,7.4,3.5,7,
New Mexico,-1.7,-0.1,4.0,-0.9,-1.1,4.3,5.5,4.1,5,
Oklahoma,1.7,6.9,-1.2,0.0,0.8,5.4,0.2,5.5,3,
Texas,1.8,4.4,3.3,1.3,2.4,4.5,3.3,6.6,1,
Rocky Mountain ,0.4,3.8,4.6,3.2,1.4,4.9,3.9,3.1,--,
Colorado ,0.7,2.9,5.9,3.4,0.3,5.9,4.1,3.8,6,
Idaho ,0.6,6.7,2.1,6.6,2.0,5.6,3.6,2.7,11,
Montana ,-2.0,3.8,-1.1,0.4,-0.4,3.2,1.4,1.3,38,
Utah ,-0.4,2.8,6.0,2.7,5.9,3.7,4.7,1.8,25,
Wyoming ,4.6,11.5,-0.6,0.1,-6.2,3.0,2.8,6.0,2,
Far West,3.2,5.4,3.2,4.9,1.9,6.2,2.0,2.3,--,
Alaska ,-1.0,2.3,3.9,-2.5,-5.7,1.7,2.9,4.9,4,
California ,3.4,5.9,3.0,5.4,0.9,6.6,1.2,2.2,14,
Hawaii ,3.2,-0.2,1.4,0.6,0.0,2.4,1.6,1.1,41,
Nevada,3.1,2.2,4.8,-0.5,6.4,2.5,2.7,2.8,10,
Oregon ,2.2,5.1,2.3,5.2,2.0,3.6,4.2,1.3,36,
Washington,2.6,5.4,4.1,4.7,7.2,7.2,5.4,3.1,9,
Source: U.S. Bureau of Economic Analysis,,,,,,,,,,
